date,close,open,high,low
2026-02-12,5062.18,5061.96,5080.89,5045.83
2026-02-11,5078.96,5023.46,5119.24,5020.68
2026-02-10,5023.47,5065.32,5078.84,4987.54
2026-02-09,5065.55,4960.97,5086.85,4960.17
2026-02-08,5036.22,4992.29,5046.79,4964.73
2026-02-06,4961.15,4770.55,4971.99,4655.49
2026-02-05,4770.95,4963.74,5024.12,4760.05
2026-02-04,4963.60,4939.34,5092.68,4854.81
2026-02-03,4939.33,4665.16,4994.28,4648.50
2026-02-02,4666.27,4799.72,4885.08,4404.12
2026-01-30,4865.35,5395.58,5451.20,4681.94
2026-01-29,5395.88,5399.91,5595.46,5110.73
2026-01-28,5400.25,5189.63,5401.62,5157.35
2026-01-27,5189.62,5014.85,5190.56,5006.20
2026-01-26,5015.34,5007.11,5111.40,4989.85
2026-01-23,4982.91,4936.75,4989.93,4899.72
2026-01-22,4936.75,4836.95,4941.25,4772.38
2026-01-21,4836.67,4763.53,4888.22,4755.70
2026-01-20,4763.49,4671.02,4766.46,4659.34
2026-01-19,4671.02,4630.80,4690.80,4629.80
2026-01-16,4595.10,4614.90,4621.27,4537.15
2026-01-15,4614.91,4620.83,4632.65,4581.05
2026-01-14,4620.83,4588.05,4643.06,4585.32
2026-01-13,4588.00,4593.89,4634.76,4569.45
2026-01-12,4594.00,4519.45,4630.47,4513.57
2026-01-09,4510.45,4476.71,4517.40,4452.62
2026-01-08,4476.73,4453.04,4479.80,4407.48
2026-01-07,4453.04,4497.33,4500.65,4423.47
2026-01-06,4497.34,4448.56,4497.54,4427.25
2026-01-05,4448.47,4356.12,4456.05,4345.88
2026-01-02,4330.50,4333.00,4402.53,4310.01
2026-01-01,4348.35,4329.42,4351.65,4324.42
2025-12-31,4315.09,4346.47,4373.89,4274.51
2025-12-30,4346.51,4332.09,4404.51,4323.33
2025-12-29,4332.08,4540.70,4550.10,4303.75
2025-12-26,4532.63,4479.64,4550.11,4475.10
2025-12-25,4495.35,4487.10,4500.35,4483.59
2025-12-24,4479.64,4488.81,4525.71,4448.27
2025-12-23,4488.82,4445.62,4499.87,4429.92
2025-12-22,4445.95,4338.98,4449.60,4337.90
2025-12-19,4338.55,4332.33,4356.65,4309.01
2025-12-18,4332.40,4341.06,4374.69,4308.60
2025-12-17,4341.08,4303.80,4349.13,4301.27
2025-12-16,4303.80,4302.58,4335.16,4271.34
2025-12-15,4302.70,4299.00,4350.50,4285.21
2025-12-12,4302.43,4283.26,4353.72,4257.60
2025-12-11,4283.28,4228.53,4286.24,4203.98
2025-12-10,4228.55,4209.56,4239.10,4181.68
2025-12-09,4209.54,4189.00,4221.67,4170.00
2025-12-08,4189.05,4197.19,4219.31,4176.34
2025-12-05,4197.13,4208.69,4259.55,4191.95
2025-12-04,4208.69,4206.15,4219.46,4174.60
2025-12-03,4206.22,4208.14,4242.00,4194.39
2025-12-02,4208.14,4232.72,4236.28,4163.01
2025-12-01,4232.73,4223.93,4264.74,4205.87
2025-11-28,4230.63,4157.57,4231.51,4157.15
2025-11-27,4157.57,4164.53,4169.00,4142.57
2025-11-26,4164.59,4131.15,4173.70,4128.99
2025-11-25,4131.15,4139.66,4159.45,4109.72
2025-11-24,4139.70,4066.47,4140.13,4040.03
2025-11-21,4065.90,4077.54,4101.37,4022.70
2025-11-20,4077.50,4081.66,4110.17,4038.73
2025-11-19,4081.66,4067.86,4133.04,4055.23
2025-11-18,4067.88,4044.61,4082.69,3997.99
2025-11-17,4044.61,4082.02,4106.85,4006.83
2025-11-14,4079.58,4171.47,4211.68,4032.32
2025-11-13,4171.46,4198.75,4245.20,4145.41
2025-11-12,4198.73,4126.68,4211.96,4098.76
2025-11-11,4126.68,4115.91,4149.20,4097.09
2025-11-10,4115.90,3999.94,4116.26,3997.87
2025-11-07,3999.72,3977.92,4027.63,3974.41
2025-11-06,3977.87,3982.59,4019.84,3964.46
2025-11-05,3982.62,3932.06,3990.60,3929.61
2025-11-04,3932.05,4001.67,4006.00,3928.66
2025-11-03,4001.67,4002.28,4030.70,3962.85
2025-10-31,4002.28,4024.37,4046.00,3972.45
2025-10-30,4024.47,3931.15,4027.44,3915.17
2025-10-29,3930.38,3952.52,4030.40,3917.12
2025-10-28,3952.58,3983.41,4020.11,3886.49
2025-10-27,3981.59,4065.35,4109.33,3971.34
2025-10-24,4112.10,4127.13,4144.70,4044.70
2025-10-23,4126.17,4095.57,4154.96,4065.49
2025-10-22,4094.07,4123.10,4161.65,4004.69
2025-10-21,4125.10,4355.55,4375.59,4086.47
2025-10-20,4356.50,4251.82,4381.60,4218.81
2025-10-17,4249.98,4328.75,4379.44,4186.91
2025-10-16,4326.18,4209.81,4330.91,4199.60
2025-10-15,4208.58,4144.40,4218.42,4140.45
2025-10-14,4142.31,4108.98,4180.39,4090.49
2025-10-13,4110.70,4018.79,4117.14,4008.80
2025-10-10,4018.30,3977.58,4022.96,3946.80
2025-10-09,3976.29,4042.69,4058.09,3944.80
2025-10-08,4038.90,3983.82,4059.34,3982.86
